Month,Trip Count,Average Temperature
1,1024055,0.7641437227492663
2,1197358,3.9835075361691854
3,1846028,8.069757344795738
4,2261339,11.476518602474021
5,2865301,17.898715422917174
6,3344145,22.182324929092488
7,3397722,26.920687360531556
8,3576182,26.49067801918359
9,3411909,21.274137909305317
10,2935951,14.891643616276658
11,2386346,12.048618308295096
12,1591781,4.888342201644669
